date,CO_ppm,NOX_ppb,O3_ppb,SO2_ppb,location
2020-01-01,0.2739130434782608,14.73913043478261,21.26086956521739,2.0869565217391304,NEZ
2020-01-02,0.1904761904761904,12.238095238095235,18.047619047619047,1.0,NEZ
2020-01-03,0.2458333333333333,26.45833333333333,25.5,1.375,NEZ
2020-01-04,0.4416666666666666,38.583333333333336,24.25,7.708333333333333,NEZ
2020-01-05,0.5125000000000001,40.625,29.041666666666668,9.75,NEZ
2020-01-06,0.925,79.75,32.5,21.58333333333333,NEZ
2020-01-07,0.5083333333333333,58.65217391304348,20.52173913043478,3.782608695652174,NEZ
2020-01-08,0.6047619047619047,47.19047619047619,34.38095238095238,8.80952380952381,NEZ
2020-01-09,0.8624999999999999,76.375,30.08333333333333,4.0,NEZ
2020-01-10,0.925,75.08333333333333,20.5,2.083333333333333,NEZ
2020-01-11,0.7999999999999999,64.6086956521739,25.91304347826087,4.086956521739131,NEZ
2020-01-12,0.425,31.5,26.875,15.416666666666666,NEZ
2020-01-13,0.6166666666666667,54.56521739130435,23.91304347826087,2.9565217391304346,NEZ
2020-01-14,0.4238095238095238,38.523809523809526,23.952380952380956,3.9047619047619047,NEZ
2020-01-15,0.4833333333333333,40.04166666666666,23.291666666666668,15.208333333333334,NEZ
2020-01-16,0.2833333333333333,26.5,24.416666666666668,8.166666666666666,NEZ
2020-01-17,0.3916666666666666,33.5,24.666666666666668,3.4166666666666665,NEZ
2020-01-18,0.4166666666666667,36.958333333333336,21.375,20.75,NEZ
2020-01-19,0.2416666666666666,21.65217391304348,12.304347826086955,1.565217391304348,NEZ
2020-01-20,0.5857142857142857,37.095238095238095,11.476190476190476,1.1428571428571428,NEZ
2020-01-21,0.7333333333333334,54.333333333333336,19.58333333333333,1.9166666666666667,NEZ
2020-01-22,1.0708333333333333,72.66666666666667,30.58333333333333,3.375,NEZ
2020-01-23,0.7416666666666667,56.25,19.58333333333333,4.708333333333333,NEZ
2020-01-24,0.4958333333333333,36.375,21.20833333333333,4.083333333333333,NEZ
2020-01-25,0.4708333333333334,36.869565217391305,18.347826086956523,2.217391304347826,NEZ
2020-01-26,0.5619047619047619,37.38095238095238,23.80952380952381,1.809523809523809,NEZ
2020-01-27,0.4208333333333333,31.5,21.666666666666668,4.416666666666667,NEZ
2020-01-28,0.7523809523809524,65.95238095238095,21.33333333333333,1.5714285714285714,NEZ
2020-01-29,0.4583333333333333,37.04166666666666,24.375,1.9166666666666667,NEZ
2020-01-30,0.2749999999999999,22.5,23.20833333333333,1.0416666666666667,NEZ
2020-01-31,0.475,35.82608695652174,22.869565217391305,1.434782608695652,NEZ
2020-02-01,0.3238095238095238,30.857142857142858,20.952380952380956,8.238095238095237,NEZ
2020-02-02,0.5666666666666667,37.458333333333336,21.95833333333333,16.916666666666668,NEZ
2020-02-03,0.1875,19.5,23.375,2.5416666666666665,NEZ
2020-02-04,0.1833333333333333,14.083333333333334,20.416666666666668,1.0,NEZ
2020-02-05,0.2238095238095238,16.904761904761905,13.904761904761903,1.0,NEZ
2020-02-06,0.3125,18.869565217391305,27.347826086956523,1.0869565217391304,NEZ
2020-02-07,0.680952380952381,58.71428571428572,25.95,1.7142857142857142,NEZ
2020-02-08,0.4791666666666667,48.625,28.45833333333333,1.5,NEZ
2020-02-09,0.5,41.208333333333336,27.875,1.625,NEZ
2020-02-10,0.6541666666666667,53.708333333333336,28.916666666666668,2.5416666666666665,NEZ
2020-02-11,0.5833333333333334,50.458333333333336,33.208333333333336,3.208333333333333,NEZ
2020-02-12,0.4458333333333333,34.43478260869565,26.217391304347824,1.3043478260869563,NEZ
2020-02-13,0.6095238095238096,50.19047619047619,28.476190476190474,1.7142857142857142,NEZ
2020-02-14,0.5708333333333333,38.04166666666666,27.95833333333333,16.625,NEZ
2020-02-15,0.6291666666666667,44.54166666666666,33.958333333333336,6.666666666666667,NEZ
2020-02-16,0.4666666666666666,36.04166666666666,21.166666666666668,2.875,NEZ
2020-02-17,0.7416666666666667,56.68181818181818,26.625,5.625,NEZ
2020-02-18,0.7666666666666666,68.30434782608695,31.17391304347826,7.565217391304348,NEZ
2020-02-19,0.6333333333333333,50.142857142857146,30.857142857142858,6.238095238095238,NEZ
2020-02-20,0.3166666666666667,28.375,26.666666666666668,6.291666666666667,NEZ
2020-02-21,0.3583333333333333,29.625,27.58333333333333,1.6666666666666667,NEZ
2020-02-22,0.3916666666666666,27.75,36.25,5.5,NEZ
2020-02-23,0.5458333333333333,34.708333333333336,40.958333333333336,2.4166666666666665,NEZ
2020-02-24,0.5583333333333333,43.04347826086956,30.217391304347824,2.0869565217391304,NEZ
2020-02-25,0.3857142857142857,30.38095238095238,25.142857142857142,1.2857142857142858,NEZ
2020-02-26,0.2833333333333333,27.58333333333333,28.375,3.208333333333333,NEZ
2020-02-27,0.3083333333333333,24.25,28.125,7.75,NEZ
2020-02-28,0.45,35.25,34.125,11.166666666666666,NEZ
2020-02-29,0.3999999999999999,31.33333333333333,36.25,13.041666666666666,NEZ
2020-03-01,0.5166666666666667,35.82608695652174,47.78260869565217,2.869565217391304,NEZ
2020-03-02,0.5238095238095238,46.0,30.047619047619047,2.6666666666666665,NEZ
2020-03-03,0.3125,30.95833333333333,25.625,1.5416666666666667,NEZ
2020-03-04,0.265,27.15,26.35,1.2,NEZ
2020-03-05,0.3208333333333333,34.25,30.166666666666668,2.875,NEZ
2020-03-06,0.2666666666666666,23.45833333333333,26.875,3.7916666666666665,NEZ
2020-03-07,0.3041666666666666,26.0,31.608695652173918,5.739130434782608,NEZ
