date,CO_ppm,NOX_ppb,O3_ppb,SO2_ppb,location
2017-01-01,0.9708333333333332,43.25,27.0,2.7916666666666665,NEZ
2017-01-02,1.1333333333333333,74.66666666666667,23.75,3.333333333333333,NEZ
2017-01-03,1.3083333333333331,84.20833333333333,24.625,11.125,NEZ
2017-01-04,1.0625,72.08333333333333,20.5,2.708333333333333,NEZ
2017-01-05,1.238095238095238,70.9047619047619,31.33333333333333,2.571428571428572,NEZ
2017-01-06,1.6833333333333331,98.08333333333331,31.75,2.208333333333333,NEZ
2017-01-07,0.95,53.375,27.666666666666668,8.416666666666666,NEZ
2017-01-08,0.8208333333333333,43.625,16.5,18.08333333333333,NEZ
2017-01-09,0.8583333333333334,50.208333333333336,17.541666666666668,20.58333333333333,NEZ
2017-01-10,0.9875,56.125,20.20833333333333,10.708333333333334,NEZ
2017-01-11,1.4714285714285713,89.61904761904762,23.857142857142858,3.4285714285714284,NEZ
2017-01-12,1.6583333333333332,110.375,25.375,2.7916666666666665,NEZ
2017-01-13,1.0916666666666666,71.95833333333333,19.83333333333333,1.5416666666666667,NEZ
2017-01-14,0.6791666666666667,38.0,24.666666666666668,7.583333333333333,NEZ
2017-01-15,1.0833333333333333,57.333333333333336,25.83333333333333,12.625,NEZ
2017-01-16,1.4083333333333332,82.04166666666667,27.85,6.125,NEZ
2017-01-17,1.1666666666666667,72.04761904761905,22.904761904761905,2.05,NEZ
2017-01-18,0.9,51.66666666666666,24.5,1.1666666666666667,NEZ
2017-01-19,1.0291666666666666,63.875,19.75,1.125,NEZ
2017-01-20,0.4833333333333333,26.125,20.08333333333333,0.5,NEZ
2017-01-21,0.5625,35.125,23.70833333333333,0.5416666666666666,NEZ
2017-01-22,1.2083333333333333,62.208333333333336,23.166666666666668,2.5,NEZ
2017-01-23,1.173684210526316,65.04761904761905,28.952380952380956,2.1904761904761907,NEZ
2017-02-18,0.8291666666666666,65.6086956521739,22.041666666666668,1.3333333333333333,NEZ
2017-02-19,0.6124999999999999,38.16666666666666,20.25,0.9583333333333334,NEZ
2017-02-20,0.3333333333333333,19.70833333333333,22.625,0.25,NEZ
2017-02-21,0.6749999999999999,37.65217391304348,33.13636363636363,8.347826086956522,NEZ
2017-02-22,0.7684210526315789,39.66666666666666,39.578947368421055,7.238095238095238,NEZ
2017-02-23,0.7166666666666667,55.125,21.041666666666668,1.1666666666666667,NEZ
2017-02-24,1.0458333333333332,74.29166666666667,27.041666666666668,1.4166666666666667,NEZ
2017-02-25,0.9208333333333334,58.91666666666666,28.08333333333333,2.875,NEZ
2017-02-26,0.4333333333333333,26.130434782608692,25.0,1.0869565217391304,NEZ
2017-02-28,1.1095238095238096,65.76190476190476,37.38095238095238,3.1904761904761907,NEZ
2017-03-01,0.8583333333333334,55.583333333333336,26.416666666666668,8.208333333333334,NEZ
2017-03-02,0.3999999999999999,20.166666666666668,30.875,0.7083333333333334,NEZ
2017-03-03,0.4916666666666667,27.70833333333333,23.83333333333333,0.75,NEZ
2017-03-04,0.4458333333333333,25.83333333333333,26.416666666666668,3.5,NEZ
2017-03-05,0.5263157894736842,25.68421052631579,27.63157894736842,4.473684210526316,NEZ
2017-03-06,0.7095238095238096,36.80952380952381,34.904761904761905,1.9523809523809523,NEZ
2017-03-07,0.7000000000000001,49.625,27.363636363636363,1.3333333333333333,NEZ
2017-03-08,0.4458333333333333,27.33333333333333,30.5,2.75,NEZ
2017-03-09,0.5833333333333334,36.0,26.875,1.5416666666666667,NEZ
2017-03-10,0.7833333333333333,50.75,26.5,4.458333333333333,NEZ
2017-03-11,0.5791666666666667,33.375,33.166666666666664,1.5416666666666667,NEZ
2017-03-12,0.4904761904761905,24.714285714285715,30.904761904761905,6.857142857142857,NEZ
2017-03-13,0.6583333333333333,35.541666666666664,30.20833333333333,2.9166666666666665,NEZ
2017-03-14,0.475,29.041666666666668,27.125,0.625,NEZ
2017-03-15,0.725,44.66666666666666,19.70833333333333,1.0416666666666667,NEZ
2017-03-16,0.875,56.833333333333336,26.416666666666668,1.2083333333333333,NEZ
2017-03-17,0.6333333333333333,37.60869565217392,28.608695652173918,1.391304347826087,NEZ
2017-03-18,0.4761904761904761,29.904761904761905,30.09523809523809,3.380952380952381,NEZ
2017-03-19,0.4166666666666667,19.041666666666668,30.791666666666668,1.5,NEZ
2017-03-20,0.5208333333333334,26.125,28.58333333333333,8.25,NEZ
2017-03-21,0.65,41.125,24.20833333333333,1.625,NEZ
2017-03-22,0.7125,49.91666666666666,21.875,1.125,NEZ
2017-03-23,0.8958333333333334,53.54166666666666,32.583333333333336,1.5,NEZ
2017-03-24,0.7666666666666667,41.80952380952381,41.388888888888886,2.2857142857142856,NEZ
2017-03-25,0.691304347826087,41.0,28.869565217391305,2.8260869565217392,NEZ
2017-03-26,0.7999999999999999,36.833333333333336,28.291666666666668,0.875,NEZ
2017-03-27,0.8347826086956521,44.34782608695652,35.130434782608695,2.739130434782609,NEZ
2017-03-28,0.6545454545454544,38.22727272727273,31.181818181818183,1.9545454545454544,NEZ
2017-06-01,0.2749999999999999,21.95833333333333,19.291666666666668,0.8333333333333334,NEZ
2017-06-02,0.3041666666666666,27.041666666666668,22.5,4.875,NEZ
2017-06-03,0.3791666666666666,25.30434782608696,36.59090909090909,3.1739130434782608,NEZ
2017-06-04,0.3142857142857143,16.80952380952381,51.333333333333336,1.380952380952381,NEZ
2017-06-05,0.4291666666666666,24.291666666666668,45.708333333333336,6.875,NEZ
2017-06-06,0.5791666666666667,31.181818181818183,42.04166666666666,1.6666666666666667,NEZ
